station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2026-09-21 12:00:00,4,55.38,20117.0,-62.01,-80.78,265.0,16,M,M
KOKX,2026-09-21 12:00:00,4,54.7,20193.04,-62.1,-81.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,52.72,20422.0,-61.61,-81.43,265.0,23,M,M
KOKX,2026-09-21 12:00:00,4,50.19,20726.0,-60.95,-81.87,285.0,13,M,M
KOKX,2026-09-21 12:00:00,4,50.0,20750.0,-60.9,-81.9,340.0,14,M,M
KOKX,2026-09-21 12:00:00,4,49.1,20862.81,-60.5,-81.5,M,M,M,M
KOKX,2026-09-21 12:00:00,4,47.8,21031.0,-60.12,-81.63,0.0,9,M,M
KOKX,2026-09-21 12:00:00,4,45.53,21336.0,-59.43,-81.86,175.0,5,M,M
KOKX,2026-09-21 12:00:00,4,41.3,21946.0,-58.06,-82.31,290.0,14,M,M
KOKX,2026-09-21 12:00:00,4,39.7,22193.14,-57.5,-82.5,M,M,M,M
KOKX,2026-09-21 12:00:00,4,39.34,22250.0,-57.31,-82.31,240.0,6,M,M
KOKX,2026-09-21 12:00:00,4,38.6,22370.52,-56.9,-81.9,M,M,M,M
KOKX,2026-09-21 12:00:00,4,37.49,22555.0,-56.75,-81.75,280.0,7,M,M
KOKX,2026-09-21 12:00:00,4,37.1,22621.19,-56.7,-81.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,35.74,22860.0,-55.63,-80.99,205.0,7,M,M
KOKX,2026-09-21 12:00:00,4,34.06,23165.0,-54.26,-80.08,235.0,11,M,M
KOKX,2026-09-21 12:00:00,4,33.4,23290.56,-53.7,-79.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,32.48,23470.0,-53.59,-79.59,265.0,10,M,M
KOKX,2026-09-21 12:00:00,4,30.3,23916.02,-53.3,-79.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,30.0,23980.0,-53.1,-79.1,205.0,9,M,M
KOKX,2026-09-21 12:00:00,4,29.54,24079.0,-52.85,-78.85,270.0,3,M,M
KOKX,2026-09-21 12:00:00,4,28.9,24221.13,-52.5,-78.5,M,M,M,M
KOKX,2026-09-21 12:00:00,4,28.4,24334.0,-52.3,-78.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,28.18,24384.0,-52.34,-78.34,205.0,10,M,M
KOKX,2026-09-21 12:00:00,4,27.4,24565.81,-52.5,-78.5,M,M,M,M
KOKX,2026-09-21 12:00:00,4,26.88,24689.0,-52.42,-78.42,300.0,5,M,M
KOKX,2026-09-21 12:00:00,4,26.1,24880.14,-52.3,-78.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,25.64,24994.0,-52.45,-78.45,275.0,6,M,M
